Date,Close,High,Low,Open,Volume,ret
1996-01-03,572.2899780273438,586.3200073242188,571.4199829101562,585.9400024414062,506550000,-0.02329594217358033
1996-01-04,563.47998046875,575.5999755859375,552.6900024414062,572.2899780273438,629970000,-0.01539428942816956
1996-01-05,565.1400146484375,568.8499755859375,552.1799926757812,563.47998046875,548130000,0.0029460393221185655
1996-01-08,563.1500244140625,568.22998046875,562.219970703125,565.1400146484375,142690000,-0.00352123400006088
1996-01-09,534.4199829101562,562.47998046875,533.510009765625,562.4199829101562,545790000,-0.05101667452433978
1996-01-10,535.2899780273438,545.1900024414062,527.219970703125,534.4199829101562,603420000,0.0016279240017373908
1996-01-11,555.2000122070312,555.219970703125,535.2899780273438,535.2899780273438,513200000,0.03719485698772118
1996-01-12,552.7100219726562,558.9600219726562,546.7100219726562,555.2000122070312,485300000,-0.004484852629013436
1996-01-15,534.4400024414062,554.3599853515625,533.6500244140625,552.75,422660000,-0.03305534331735682
1996-01-16,546.0499877929688,546.469970703125,526.7999877929688,534.4400024414062,561850000,0.02172364586955733
1996-01-17,545.510009765625,555.7000122070312,534.8699951171875,546.0499877929688,613690000,-0.000988880211363452
1996-01-18,554.3200073242188,555.239990234375,545.510009765625,545.510009765625,536760000,0.016150019982912767
1996-01-19,564.6400146484375,566.1199951171875,554.280029296875,554.3200073242188,571120000,0.018617418075950187
1996-01-22,571.25,572.010009765625,563.6799926757812,564.6400146484375,494430000,0.011706547853641114
1996-01-23,567.3499755859375,572.9199829101562,566.9199829101562,571.25,533870000,-0.006827176217177211
1996-01-24,582.1400146484375,582.2899780273438,567.3499755859375,567.3499755859375,593000000,0.026068634350826292
1996-01-25,572.260009765625,584.5599975585938,571.52001953125,582.1400146484375,582810000,-0.016971870399218547
1996-01-26,577.0499877929688,577.0499877929688,568.3300170898438,572.260009765625,513610000,0.008370282643558324
1996-01-29,576.22998046875,580.47998046875,574.4500122070312,577.0499877929688,434380000,-0.001421033431358354
1996-01-30,583.989990234375,585.260009765625,576.22998046875,576.22998046875,542190000,0.013466862240163913
1996-01-31,591.8200073242188,591.8400268554688,580.4299926757812,583.989990234375,561170000,0.01340779331971298
1996-02-01,601.8800048828125,601.8800048828125,589.010009765625,591.8200073242188,583070000,0.016998407343607358
1996-02-02,601.4199829101562,606.5999755859375,599.3599853515625,601.8800048828125,561260000,-0.0007643084484021401
1996-02-05,615.469970703125,615.469970703125,600.6699829101562,601.5,512040000,0.023361358438712898
1996-02-06,619.2000122070312,621.6500244140625,614.8699951171875,615.469970703125,589490000,0.006060476841209583
1996-02-07,615.0700073242188,619.3300170898438,610.3499755859375,619.1699829101562,611640000,-0.006669904395014137
1996-02-08,623.7999877929688,625.22998046875,610.0999755859375,615.0700073242188,556580000,0.014193474506631665
1996-02-09,623.010009765625,629.4000244140625,620.0800170898438,623.7999877929688,552650000,-0.0012663963494753405
1996-02-12,625.2899780273438,629.010009765625,623.010009765625,623.010009765625,494040000,0.003659601332210549
1996-02-13,618.5399780273438,626.510009765625,612.0399780273438,625.2999877929688,525250000,-0.010794991503453866
1996-02-14,617.5900268554688,623.6300048828125,613.25,618.5399780273438,515890000,-0.001535795915576177
1996-02-15,620.22998046875,621.77001953125,615.5499877929688,617.5900268554688,493760000,0.0042746053182285415
1996-02-16,619.0399780273438,623.2899780273438,614.9099731445312,620.22998046875,459680000,-0.0019186470807278644
1996-02-20,616.8300170898438,621.9000244140625,611.72998046875,619.0399780273438,459680000,-0.0035699809639796465
1996-02-21,627.280029296875,627.5599975585938,616.8300170898438,616.8300170898438,485810000,0.016941478069328664
1996-02-22,643.4099731445312,644.2100219726562,627.280029296875,627.280029296875,641140000,0.02571410389987472
1996-02-23,642.5900268554688,647.3400268554688,634.5999755859375,643.4099731445312,583520000,-0.0012743760950039151
1996-02-26,637.9199829101562,645.239990234375,636.5599975585938,642.5900268554688,473800000,-0.007267532563749013
1996-02-27,631.0999755859375,640.5700073242188,628.4500122070312,637.9199829101562,514460000,-0.010691007503960348
1996-02-28,631.4400024414062,638.7899780273438,629.9000244140625,631.0999755859375,543440000,0.0005387844535298392
1996-02-29,622.8300170898438,631.4400024414062,620.8800048828125,631.4400024414062,533230000,-0.01363547655877484
